"FREQ","C1(2)[X=0.00]","C1(2)[X=100m]","C1(2)[X=200m]","C1(2)[X=300m]","C1(2)[X=400m]","C1(2)[X=500m]","C1(2)[X=600m]","C1(2)[X=700m]","C1(2)[X=800m]","C1(2)[X=900m]","C1(2)[X=1.00]"
100000,-44.0365,-44.0365,-44.0365,-44.0365,-44.0365,-44.0365,-44.0365,-44.0365,-44.0365,-44.0365,-44.0365
125892.5412,-42.0365,-42.0365,-42.0365,-42.0365,-42.0365,-42.0365,-42.0365,-42.0365,-42.0365,-42.0365,-42.0365
158489.3192,-40.0366,-40.0366,-40.0366,-40.0366,-40.0366,-40.0366,-40.0366,-40.0366,-40.0366,-40.0366,-40.0366
199526.2315,-38.0367,-38.0367,-38.0367,-38.0367,-38.0367,-38.0367,-38.0367,-38.0367,-38.0367,-38.0367,-38.0367
251188.6432,-36.0369,-36.0369,-36.0369,-36.0369,-36.0369,-36.0369,-36.0369,-36.0369,-36.0369,-36.0369,-36.0369
316227.766,-34.0372,-34.0372,-34.0372,-34.0372,-34.0372,-34.0372,-34.0372,-34.0372,-34.0372,-34.0372,-34.0372
398107.1706,-32.0377,-32.0377,-32.0377,-32.0377,-32.0377,-32.0377,-32.0377,-32.0377,-32.0377,-32.0377,-32.0377
501187.2336,-30.0384,-30.0384,-30.0384,-30.0384,-30.0384,-30.0384,-30.0384,-30.0384,-30.0384,-30.0384,-30.0384
630957.3445,-28.0396,-28.0396,-28.0396,-28.0396,-28.0396,-28.0396,-28.0396,-28.0396,-28.0396,-28.0396,-28.0396
794328.2347,-26.0414,-26.0414,-26.0414,-26.0414,-26.0414,-26.0414,-26.0414,-26.0414,-26.0414,-26.0414,-26.0414
1000000,-24.0444,-24.0444,-24.0444,-24.0444,-24.0444,-24.0444,-24.0444,-24.0444,-24.0444,-24.0444,-24.0444
1258925.412,-22.049,-22.049,-22.049,-22.049,-22.049,-22.049,-22.049,-22.049,-22.049,-22.049,-22.049
1584893.192,-20.0564,-20.0564,-20.0564,-20.0564,-20.0564,-20.0564,-20.0564,-20.0564,-20.0564,-20.0564,-20.0564
1995262.315,-18.0681,-18.0681,-18.0681,-18.0681,-18.0681,-18.0681,-18.0681,-18.0681,-18.0681,-18.0681,-18.0681
2511886.432,-16.0866,-16.0866,-16.0866,-16.0866,-16.0866,-16.0866,-16.0866,-16.0866,-16.0866,-16.0866,-16.0866
3162277.66,-14.116,-14.116,-14.116,-14.116,-14.116,-14.116,-14.116,-14.116,-14.116,-14.116,-14.116
3981071.706,-12.1623,-12.1623,-12.1623,-12.1623,-12.1623,-12.1623,-12.1623,-12.1623,-12.1623,-12.1623,-12.1623
5011872.336,-10.2354,-10.2354,-10.2354,-10.2354,-10.2354,-10.2354,-10.2354,-10.2354,-10.2354,-10.2354,-10.2354
6309573.445,-8.35056,-8.35056,-8.35056,-8.35056,-8.35056,-8.35056,-8.35056,-8.35056,-8.35056,-8.35056,-8.35056
7943282.347,-6.53113,-6.53113,-6.53113,-6.53113,-6.53113,-6.53113,-6.53113,-6.53113,-6.53113,-6.53113,-6.53113
10000000,-4.81246,-4.81246,-4.81246,-4.81246,-4.81246,-4.81246,-4.81246,-4.81246,-4.81246,-4.81246,-4.81246
12589254.12,-3.24614,-3.24614,-3.24614,-3.24614,-3.24614,-3.24614,-3.24614,-3.24614,-3.24614,-3.24614,-3.24614
15848931.92,-1.90323,-1.90323,-1.90323,-1.90323,-1.90323,-1.90323,-1.90323,-1.90323,-1.90323,-1.90323,-1.90323
19952623.15,-0.872395,-0.872395,-0.872395,-0.872395,-0.872395,-0.872395,-0.872395,-0.872395,-0.872395,-0.872395,-0.872395
25118864.32,-0.24664,-0.24664,-0.24664,-0.24664,-0.24664,-0.24664,-0.24664,-0.24664,-0.24664,-0.24664,-0.24664
31622776.6,-0.0963951,-0.0963951,-0.0963951,-0.0963951,-0.0963951,-0.0963951,-0.0963951,-0.0963951,-0.0963951,-0.0963951,-0.0963951
39810717.06,-0.44043,-0.44043,-0.44043,-0.44043,-0.44043,-0.44043,-0.44043,-0.44043,-0.44043,-0.44043,-0.44043
50118723.36,-1.23687,-1.23687,-1.23687,-1.23687,-1.23687,-1.23687,-1.23687,-1.23687,-1.23687,-1.23687,-1.23687
63095734.45,-2.40254,-2.40254,-2.40254,-2.40254,-2.40254,-2.40254,-2.40254,-2.40254,-2.40254,-2.40254,-2.40254
79432823.47,-3.84362,-3.84362,-3.84362,-3.84362,-3.84362,-3.84362,-3.84362,-3.84362,-3.84362,-3.84362,-3.84362
100000000,-5.4776,-5.4776,-5.4776,-5.4776,-5.4776,-5.4776,-5.4776,-5.4776,-5.4776,-5.4776,-5.4776
125892541.2,-7.2413,-7.2413,-7.2413,-7.2413,-7.2413,-7.2413,-7.2413,-7.2413,-7.2413,-7.2413,-7.2413
158489319.2,-9.09008,-9.09008,-9.09008,-9.09008,-9.09008,-9.09008,-9.09008,-9.09008,-9.09008,-9.09008,-9.09008
199526231.5,-10.9938,-10.9938,-10.9938,-10.9938,-10.9938,-10.9938,-10.9938,-10.9938,-10.9938,-10.9938,-10.9938
251188643.2,-12.9328,-12.9328,-12.9328,-12.9328,-12.9328,-12.9328,-12.9328,-12.9328,-12.9328,-12.9328,-12.9328
316227766,-14.8941,-14.8941,-14.8941,-14.8941,-14.8941,-14.8941,-14.8941,-14.8941,-14.8941,-14.8941,-14.8941
398107170.6,-16.8697,-16.8697,-16.8697,-16.8697,-16.8697,-16.8697,-16.8697,-16.8697,-16.8697,-16.8697,-16.8697
501187233.6,-18.8542,-18.8542,-18.8542,-18.8542,-18.8542,-18.8542,-18.8542,-18.8542,-18.8542,-18.8542,-18.8542
630957344.5,-20.8445,-20.8445,-20.8445,-20.8445,-20.8445,-20.8445,-20.8445,-20.8445,-20.8445,-20.8445,-20.8445
794328234.7,-22.8383,-22.8383,-22.8383,-22.8383,-22.8383,-22.8383,-22.8383,-22.8383,-22.8383,-22.8383,-22.8383
1000000000,-24.8344,-24.8344,-24.8344,-24.8344,-24.8344,-24.8344,-24.8344,-24.8344,-24.8344,-24.8344,-24.8344
