"FREQ","C1(2)[X=0.00]","C1(2)[X=100m]","C1(2)[X=200m]","C1(2)[X=300m]","C1(2)[X=400m]","C1(2)[X=500m]","C1(2)[X=600m]","C1(2)[X=700m]","C1(2)[X=800m]","C1(2)[X=900m]","C1(2)[X=1.00]"
100000,0.000554177,0.000554177,0.000554177,0.000554177,0.000554177,0.000554177,0.000554177,0.000554177,0.000554177,0.000554177,0.000554177
107907.9079,0.000598043,0.000598043,0.000598043,0.000598043,0.000598043,0.000598043,0.000598043,0.000598043,0.000598043,0.000598043,0.000598043
115815.8158,0.00064192,0.00064192,0.00064192,0.00064192,0.00064192,0.00064192,0.00064192,0.00064192,0.00064192,0.00064192,0.00064192
123723.7237,0.000685807,0.000685807,0.000685807,0.000685807,0.000685807,0.000685807,0.000685807,0.000685807,0.000685807,0.000685807,0.000685807
131631.6316,0.000729705,0.000729705,0.000729705,0.000729705,0.000729705,0.000729705,0.000729705,0.000729705,0.000729705,0.000729705,0.000729705
139539.5395,0.000773615,0.000773615,0.000773615,0.000773615,0.000773615,0.000773615,0.000773615,0.000773615,0.000773615,0.000773615,0.000773615
147447.4474,0.000817537,0.000817537,0.000817537,0.000817537,0.000817537,0.000817537,0.000817537,0.000817537,0.000817537,0.000817537,0.000817537
155355.3554,0.000861473,0.000861473,0.000861473,0.000861473,0.000861473,0.000861473,0.000861473,0.000861473,0.000861473,0.000861473,0.000861473
163263.2633,0.000905423,0.000905423,0.000905423,0.000905423,0.000905423,0.000905423,0.000905423,0.000905423,0.000905423,0.000905423,0.000905423
171171.1712,0.000949388,0.000949388,0.000949388,0.000949388,0.000949388,0.000949388,0.000949388,0.000949388,0.000949388,0.000949388,0.000949388
179079.0791,0.000993369,0.000993369,0.000993369,0.000993369,0.000993369,0.000993369,0.000993369,0.000993369,0.000993369,0.000993369,0.000993369
186986.987,0.00103737,0.00103737,0.00103737,0.00103737,0.00103737,0.00103737,0.00103737,0.00103737,0.00103737,0.00103737,0.00103737
194894.8949,0.00108138,0.00108138,0.00108138,0.00108138,0.00108138,0.00108138,0.00108138,0.00108138,0.00108138,0.00108138,0.00108138
202802.8028,0.00112541,0.00112541,0.00112541,0.00112541,0.00112541,0.00112541,0.00112541,0.00112541,0.00112541,0.00112541,0.00112541
210710.7107,0.00116946,0.00116946,0.00116946,0.00116946,0.00116946,0.00116946,0.00116946,0.00116946,0.00116946,0.00116946,0.00116946
218618.6186,0.00121353,0.00121353,0.00121353,0.00121353,0.00121353,0.00121353,0.00121353,0.00121353,0.00121353,0.00121353,0.00121353
226526.5265,0.00125762,0.00125762,0.00125762,0.00125762,0.00125762,0.00125762,0.00125762,0.00125762,0.00125762,0.00125762,0.00125762
234434.4344,0.00130173,0.00130173,0.00130173,0.00130173,0.00130173,0.00130173,0.00130173,0.00130173,0.00130173,0.00130173,0.00130173
242342.3423,0.00134586,0.00134586,0.00134586,0.00134586,0.00134586,0.00134586,0.00134586,0.00134586,0.00134586,0.00134586,0.00134586
250250.2503,0.00139001,0.00139001,0.00139001,0.00139001,0.00139001,0.00139001,0.00139001,0.00139001,0.00139001,0.00139001,0.00139001
258158.1582,0.00143419,0.00143419,0.00143419,0.00143419,0.00143419,0.00143419,0.00143419,0.00143419,0.00143419,0.00143419,0.00143419
266066.0661,0.00147839,0.00147839,0.00147839,0.00147839,0.00147839,0.00147839,0.00147839,0.00147839,0.00147839,0.00147839,0.00147839
273973.974,0.00152261,0.00152261,0.00152261,0.00152261,0.00152261,0.00152261,0.00152261,0.00152261,0.00152261,0.00152261,0.00152261
281881.8819,0.00156686,0.00156686,0.00156686,0.00156686,0.00156686,0.00156686,0.00156686,0.00156686,0.00156686,0.00156686,0.00156686
289789.7898,0.00161113,0.00161113,0.00161113,0.00161113,0.00161113,0.00161113,0.00161113,0.00161113,0.00161113,0.00161113,0.00161113
297697.6977,0.00165543,0.00165543,0.00165543,0.00165543,0.00165543,0.00165543,0.00165543,0.00165543,0.00165543,0.00165543,0.00165543
305605.6056,0.00169976,0.00169976,0.00169976,0.00169976,0.00169976,0.00169976,0.00169976,0.00169976,0.00169976,0.00169976,0.00169976
313513.5135,0.00174412,0.00174412,0.00174412,0.00174412,0.00174412,0.00174412,0.00174412,0.00174412,0.00174412,0.00174412,0.00174412
321421.4214,0.0017885,0.0017885,0.0017885,0.0017885,0.0017885,0.0017885,0.0017885,0.0017885,0.0017885,0.0017885,0.0017885
329329.3293,0.00183292,0.00183292,0.00183292,0.00183292,0.00183292,0.00183292,0.00183292,0.00183292,0.00183292,0.00183292,0.00183292
337237.2372,0.00187736,0.00187736,0.00187736,0.00187736,0.00187736,0.00187736,0.00187736,0.00187736,0.00187736,0.00187736,0.00187736
345145.1451,0.00192184,0.00192184,0.00192184,0.00192184,0.00192184,0.00192184,0.00192184,0.00192184,0.00192184,0.00192184,0.00192184
353053.0531,0.00196635,0.00196635,0.00196635,0.00196635,0.00196635,0.00196635,0.00196635,0.00196635,0.00196635,0.00196635,0.00196635
360960.961,0.00201088,0.00201088,0.00201088,0.00201088,0.00201088,0.00201088,0.00201088,0.00201088,0.00201088,0.00201088,0.00201088
