"FREQ","R1(1)[X=0.00]","R1(1)[X=100m]","R1(1)[X=200m]","R1(1)[X=300m]","R1(1)[X=400m]","R1(1)[X=500m]","R1(1)[X=600m]","R1(1)[X=700m]","R1(1)[X=800m]","R1(1)[X=900m]","R1(1)[X=1.00]"
100000,0.00024932,0.00024932,0.00024932,0.00024932,0.00024932,0.00024932,0.00024932,0.00024932,0.00024932,0.00024932,0.00024932
107907.9079,0.000269045,0.000269045,0.000269045,0.000269045,0.000269045,0.000269045,0.000269045,0.000269045,0.000269045,0.000269045,0.000269045
115815.8158,0.000288771,0.000288771,0.000288771,0.000288771,0.000288771,0.000288771,0.000288771,0.000288771,0.000288771,0.000288771,0.000288771
123723.7237,0.0003085,0.0003085,0.0003085,0.0003085,0.0003085,0.0003085,0.0003085,0.0003085,0.0003085,0.0003085,0.0003085
131631.6316,0.000328231,0.000328231,0.000328231,0.000328231,0.000328231,0.000328231,0.000328231,0.000328231,0.000328231,0.000328231,0.000328231
139539.5395,0.000347964,0.000347964,0.000347964,0.000347964,0.000347964,0.000347964,0.000347964,0.000347964,0.000347964,0.000347964,0.000347964
147447.4474,0.0003677,0.0003677,0.0003677,0.0003677,0.0003677,0.0003677,0.0003677,0.0003677,0.0003677,0.0003677,0.0003677
155355.3554,0.000387439,0.000387439,0.000387439,0.000387439,0.000387439,0.000387439,0.000387439,0.000387439,0.000387439,0.000387439,0.000387439
163263.2633,0.000407181,0.000407181,0.000407181,0.000407181,0.000407181,0.000407181,0.000407181,0.000407181,0.000407181,0.000407181,0.000407181
171171.1712,0.000426925,0.000426925,0.000426925,0.000426925,0.000426925,0.000426925,0.000426925,0.000426925,0.000426925,0.000426925,0.000426925
179079.0791,0.000446673,0.000446673,0.000446673,0.000446673,0.000446673,0.000446673,0.000446673,0.000446673,0.000446673,0.000446673,0.000446673
186986.987,0.000466424,0.000466424,0.000466424,0.000466424,0.000466424,0.000466424,0.000466424,0.000466424,0.000466424,0.000466424,0.000466424
194894.8949,0.000486178,0.000486178,0.000486178,0.000486178,0.000486178,0.000486178,0.000486178,0.000486178,0.000486178,0.000486178,0.000486178
202802.8028,0.000505936,0.000505936,0.000505936,0.000505936,0.000505936,0.000505936,0.000505936,0.000505936,0.000505936,0.000505936,0.000505936
210710.7107,0.000525698,0.000525698,0.000525698,0.000525698,0.000525698,0.000525698,0.000525698,0.000525698,0.000525698,0.000525698,0.000525698
218618.6186,0.000545463,0.000545463,0.000545463,0.000545463,0.000545463,0.000545463,0.000545463,0.000545463,0.000545463,0.000545463,0.000545463
226526.5265,0.000565233,0.000565233,0.000565233,0.000565233,0.000565233,0.000565233,0.000565233,0.000565233,0.000565233,0.000565233,0.000565233
234434.4344,0.000585007,0.000585007,0.000585007,0.000585007,0.000585007,0.000585007,0.000585007,0.000585007,0.000585007,0.000585007,0.000585007
242342.3423,0.000604785,0.000604785,0.000604785,0.000604785,0.000604785,0.000604785,0.000604785,0.000604785,0.000604785,0.000604785,0.000604785
250250.2503,0.000624567,0.000624567,0.000624567,0.000624567,0.000624567,0.000624567,0.000624567,0.000624567,0.000624567,0.000624567,0.000624567
258158.1582,0.000644354,0.000644354,0.000644354,0.000644354,0.000644354,0.000644354,0.000644354,0.000644354,0.000644354,0.000644354,0.000644354
266066.0661,0.000664146,0.000664146,0.000664146,0.000664146,0.000664146,0.000664146,0.000664146,0.000664146,0.000664146,0.000664146,0.000664146
273973.974,0.000683943,0.000683943,0.000683943,0.000683943,0.000683943,0.000683943,0.000683943,0.000683943,0.000683943,0.000683943,0.000683943
281881.8819,0.000703745,0.000703745,0.000703745,0.000703745,0.000703745,0.000703745,0.000703745,0.000703745,0.000703745,0.000703745,0.000703745
289789.7898,0.000723552,0.000723552,0.000723552,0.000723552,0.000723552,0.000723552,0.000723552,0.000723552,0.000723552,0.000723552,0.000723552
297697.6977,0.000743364,0.000743364,0.000743364,0.000743364,0.000743364,0.000743364,0.000743364,0.000743364,0.000743364,0.000743364,0.000743364
305605.6056,0.000763182,0.000763182,0.000763182,0.000763182,0.000763182,0.000763182,0.000763182,0.000763182,0.000763182,0.000763182,0.000763182
313513.5135,0.000783005,0.000783005,0.000783005,0.000783005,0.000783005,0.000783005,0.000783005,0.000783005,0.000783005,0.000783005,0.000783005
321421.4214,0.000802834,0.000802834,0.000802834,0.000802834,0.000802834,0.000802834,0.000802834,0.000802834,0.000802834,0.000802834,0.000802834
329329.3293,0.000822669,0.000822669,0.000822669,0.000822669,0.000822669,0.000822669,0.000822669,0.000822669,0.000822669,0.000822669,0.000822669
337237.2372,0.000842511,0.000842511,0.000842511,0.000842511,0.000842511,0.000842511,0.000842511,0.000842511,0.000842511,0.000842511,0.000842511
